field,year,volume,source
algeria_hassi_messaoud,2012,1.695689775,World Bank Global Gas Flaring Tracker (VIIRS) — REAL
algeria_hassi_messaoud,2013,2.083888045,World Bank Global Gas Flaring Tracker (VIIRS) — REAL
algeria_hassi_messaoud,2014,2.49103599,World Bank Global Gas Flaring Tracker (VIIRS) — REAL
algeria_hassi_messaoud,2015,2.725631743,World Bank Global Gas Flaring Tracker (VIIRS) — REAL
algeria_hassi_messaoud,2016,2.358581107,World Bank Global Gas Flaring Tracker (VIIRS) — REAL
algeria_hassi_messaoud,2017,2.250664978,World Bank Global Gas Flaring Tracker (VIIRS) — REAL
algeria_hassi_messaoud,2018,1.670652172,World Bank Global Gas Flaring Tracker (VIIRS) — REAL
algeria_hassi_messaoud,2019,2.061756128,World Bank Global Gas Flaring Tracker (VIIRS) — REAL
algeria_hassi_messaoud,2020,2.38029785,World Bank Global Gas Flaring Tracker (VIIRS) — REAL
algeria_hassi_messaoud,2021,1.940388491,World Bank Global Gas Flaring Tracker (VIIRS) — REAL
algeria_hassi_messaoud,2022,1.426598787,World Bank Global Gas Flaring Tracker (VIIRS) — REAL
algeria_hassi_messaoud,2023,1.307392605,World Bank Global Gas Flaring Tracker (VIIRS) — REAL
algeria_hassi_messaoud,2024,1.57002,World Bank Global Gas Flaring Tracker (VIIRS) — REAL
algeria_hassi_rmel,2012,0.7007510020000001,World Bank Global Gas Flaring Tracker (VIIRS) — REAL
algeria_hassi_rmel,2013,0.61262102,World Bank Global Gas Flaring Tracker (VIIRS) — REAL
algeria_hassi_rmel,2014,0.6176841120000001,World Bank Global Gas Flaring Tracker (VIIRS) — REAL
algeria_hassi_rmel,2015,0.659764927,World Bank Global Gas Flaring Tracker (VIIRS) — REAL
algeria_hassi_rmel,2016,0.606005012,World Bank Global Gas Flaring Tracker (VIIRS) — REAL
algeria_hassi_rmel,2017,0.617535,World Bank Global Gas Flaring Tracker (VIIRS) — REAL
algeria_hassi_rmel,2018,0.665946191,World Bank Global Gas Flaring Tracker (VIIRS) — REAL
algeria_hassi_rmel,2019,0.653592743,World Bank Global Gas Flaring Tracker (VIIRS) — REAL
algeria_hassi_rmel,2020,0.683424226,World Bank Global Gas Flaring Tracker (VIIRS) — REAL
algeria_hassi_rmel,2021,0.622457076,World Bank Global Gas Flaring Tracker (VIIRS) — REAL
algeria_hassi_rmel,2022,0.659375886,World Bank Global Gas Flaring Tracker (VIIRS) — REAL
algeria_hassi_rmel,2023,0.664384931,World Bank Global Gas Flaring Tracker (VIIRS) — REAL
algeria_hassi_rmel,2024,0.63733,World Bank Global Gas Flaring Tracker (VIIRS) — REAL
iran_south_pars,2012,1.349592836,World Bank Global Gas Flaring Tracker (VIIRS) — REAL
iran_south_pars,2013,1.23021117,World Bank Global Gas Flaring Tracker (VIIRS) — REAL
iran_south_pars,2014,1.808246185,World Bank Global Gas Flaring Tracker (VIIRS) — REAL
iran_south_pars,2015,2.23663658,World Bank Global Gas Flaring Tracker (VIIRS) — REAL
iran_south_pars,2016,2.00493416,World Bank Global Gas Flaring Tracker (VIIRS) — REAL
iran_south_pars,2017,1.92314181,World Bank Global Gas Flaring Tracker (VIIRS) — REAL
iran_south_pars,2018,2.54490875,World Bank Global Gas Flaring Tracker (VIIRS) — REAL
iran_south_pars,2019,3.165151125,World Bank Global Gas Flaring Tracker (VIIRS) — REAL
iran_south_pars,2020,3.473083049,World Bank Global Gas Flaring Tracker (VIIRS) — REAL
iran_south_pars,2021,3.402019493,World Bank Global Gas Flaring Tracker (VIIRS) — REAL
iran_south_pars,2022,2.876497889,World Bank Global Gas Flaring Tracker (VIIRS) — REAL
iran_south_pars,2023,2.6853529640000002,World Bank Global Gas Flaring Tracker (VIIRS) — REAL
iran_south_pars,2024,3.8138199999999998,World Bank Global Gas Flaring Tracker (VIIRS) — REAL
iraq_rumaila,2012,7.009823682,World Bank Global Gas Flaring Tracker (VIIRS) — REAL
iraq_rumaila,2013,6.833495156,World Bank Global Gas Flaring Tracker (VIIRS) — REAL
iraq_rumaila,2014,6.450665964,World Bank Global Gas Flaring Tracker (VIIRS) — REAL
iraq_rumaila,2015,6.455470908,World Bank Global Gas Flaring Tracker (VIIRS) — REAL
iraq_rumaila,2016,7.50095744,World Bank Global Gas Flaring Tracker (VIIRS) — REAL
iraq_rumaila,2017,7.052305826,World Bank Global Gas Flaring Tracker (VIIRS) — REAL
iraq_rumaila,2018,7.884647672,World Bank Global Gas Flaring Tracker (VIIRS) — REAL
iraq_rumaila,2019,7.123836421,World Bank Global Gas Flaring Tracker (VIIRS) — REAL
iraq_rumaila,2020,7.457662461,World Bank Global Gas Flaring Tracker (VIIRS) — REAL
iraq_rumaila,2021,7.252043793,World Bank Global Gas Flaring Tracker (VIIRS) — REAL
iraq_rumaila,2022,6.432764222,World Bank Global Gas Flaring Tracker (VIIRS) — REAL
iraq_rumaila,2023,6.24398416,World Bank Global Gas Flaring Tracker (VIIRS) — REAL
iraq_rumaila,2024,5.84063,World Bank Global Gas Flaring Tracker (VIIRS) — REAL
